Albaredo per San Marco,http://www.comuni-italiani.it/014/001/index.html,,307,http://www.vallidelbitto.it/
Albosaggia,http://www.comuni-italiani.it/014/002/index.html,info@comune.albosaggia.so.it,3.072,http://www.comune.albosaggia.so.it/
Andalo Valtellino,http://www.comuni-italiani.it/014/003/index.html,,550,http://www.comune.andalovaltellino.so.it/
Aprica,http://www.comuni-italiani.it/014/004/index.html,protocollo@comune.aprica.so.it,1.579,http://www.comune.aprica.so.it/
Ardenno,http://www.comuni-italiani.it/014/005/index.html,,3.255,http://www.comune.ardenno.so.it/
Bema,http://www.comuni-italiani.it/014/006/index.html,,119,http://www.comune.bema.so.it/
Berbenno di Valtellina,http://www.comuni-italiani.it/014/007/index.html,info@comune.berbenno.so.it,4.155,http://www.comune.berbenno.so.it/
Bianzone,http://www.comuni-italiani.it/014/008/index.html,protocollo@comune.bianzone.so.it,1.303,http://www.comune.bianzone.so.it/
Bormio,http://www.comuni-italiani.it/014/009/index.html,info@comune.bormio.so.it,4.165,http://www.comune.bormio.so.it/
Buglio in Monte,http://www.comuni-italiani.it/014/010/index.html,,2.010,http://www.comune.buglioinmonte.so.it/
Caiolo,http://www.comuni-italiani.it/014/011/index.html,info@comune.caiolo.so.it,1.081,http://www.comune.caiolo.so.it/
Campodolcino,http://www.comuni-italiani.it/014/012/index.html,info@comune.campodolcino.so.it,955,http://www.comune.campodolcino.so.it/
Caspoggio,http://www.comuni-italiani.it/014/013/index.html,info@comune.caspoggio.so.it,1.393,http://www.comune.caspoggio.gov.it/
Castello dell'Acqua,http://www.comuni-italiani.it/014/014/index.html,sindaco@comune.castellodellacqua.so.it,635,http://www.comune.castellodellacqua.so.it/
Castione Andevenno,http://www.comuni-italiani.it/014/015/index.html,info@comune.castioneandevenno.so.it,1.569,http://www.comune.castioneandevenno.so.it/
Cedrasco,http://www.comuni-italiani.it/014/016/index.html,info@comune.cedrasco.so.it,456,http://www.comune.cedrasco.so.it/
Cercino,http://www.comuni-italiani.it/014/017/index.html,,780,http://www.comune.cercino.so.it/
Chiavenna,http://www.comuni-italiani.it/014/018/index.html,info@comune.chiavenna.so.it,7.347,http://www.comune.chiavenna.so.it/
Chiesa in Valmalenco,http://www.comuni-italiani.it/014/019/index.html,info@comune.chiesainvalmalenco.gov.it,2.496,http://www.comune.chiesainvalmalenco.gov.it/
Chiuro,http://www.comuni-italiani.it/014/020/index.html,,2.553,http://www.comune.chiuro.so.it/
Cino,http://www.comuni-italiani.it/014/021/index.html,amministrazione@comune.cino.so.it,344,http://www.comune.cino.so.it/
Civo,http://www.comuni-italiani.it/014/022/index.html,info@comune.civo.so.it,1.109,http://www.comune.civo.so.it/
Colorina,http://www.comuni-italiani.it/014/023/index.html,,1.408,http://www.comune.colorina.so.it/
Cosio Valtellino,http://www.comuni-italiani.it/014/024/index.html,,5.543,http://www.comune.cosiovaltellino.so.it/
Dazio,http://www.comuni-italiani.it/014/025/index.html,,448,http://www.comune.dazio.so.it/
Delebio,http://www.comuni-italiani.it/014/026/index.html,,3.261,http://www.comune.delebio.so.it/
Dubino,http://www.comuni-italiani.it/014/027/index.html,,3.718,http://www.comune.dubino.so.it/
Faedo Valtellino,http://www.comuni-italiani.it/014/028/index.html,info@comune.faedovaltellino.so.it,552,http://www.comune.faedovaltellino.so.it/
Forcola,http://www.comuni-italiani.it/014/029/index.html,,801,http://www.comune.forcola.so.it/
Fusine,http://www.comuni-italiani.it/014/030/index.html,,572,http://www.comune.fusine.so.it/
Gerola Alta,http://www.comuni-italiani.it/014/031/index.html,info@comune.gerolaalta.so.it,168,http://www.comune.gerolaalta.so.it/
Gordona,http://www.comuni-italiani.it/014/032/index.html,info@comune.gordona.so.it,1.951,http://www.comune.gordona.so.it/
Grosio,http://www.comuni-italiani.it/014/033/index.html,protocollo@comune.grosio.so.it,4.438,http://www.comune.grosio.so.it/
Grosotto,http://www.comuni-italiani.it/014/034/index.html,protocollo@comune.grosotto.so.it,1.617,http://www.comune.grosotto.so.it/
Lanzada,http://www.comuni-italiani.it/014/036/index.html,,1.331,http://www.comunelanzada.it/
Livigno,http://www.comuni-italiani.it/014/037/index.html,segreteria@comune.livigno.so.it,6.458,http://www.comune.livigno.so.it/
Lovero,http://www.comuni-italiani.it/014/038/index.html,protocollo@comune.lovero.so.it,660,http://www.comune.lovero.so.it/
Madesimo,http://www.comuni-italiani.it/014/035/index.html,,514,http://www.comune.madesimo.so.it/
Mantello,http://www.comuni-italiani.it/014/039/index.html,,765,http://www.comune.mantello.so.it/
Mazzo di Valtellina,http://www.comuni-italiani.it/014/040/index.html,protocollo@comune.mazzo.so.it,997,http://www.comune.mazzo.so.it/
Mello,http://www.comuni-italiani.it/014/041/index.html,amministrazione@comune.mello.so.it,963,http://www.comune.mello.so.it/
