Antrona Schieranco,http://www.comuni-italiani.it/103/001/index.html,municipio@comune.antronaschieranco.vb.it,424,http://www.comune.antronaschieranco.vb.it/
Anzola d'Ossola,http://www.comuni-italiani.it/103/002/index.html,,418,http://www.comune.anzoladossola.vb.it/
Arizzano,http://www.comuni-italiani.it/103/003/index.html,arizzano@reteunitaria.piemonte.it,2.005,http://www.comune.arizzano.vb.it/
Arola,http://www.comuni-italiani.it/103/004/index.html,arola@reteunitaria.piemonte.it,246,http://www.comune.arola.vb.it/
Aurano,http://www.comuni-italiani.it/103/005/index.html,uffici@comune.aurano.vb.it,107,http://www.comune.aurano.vb.it/
Baceno,http://www.comuni-italiani.it/103/006/index.html,comune.baceno@reteunitaria.piemonte.it,918,http://www.comune.baceno.vb.it/
Bannio Anzino,http://www.comuni-italiani.it/103/007/index.html,municipio@comune.bannioanzino.vb.it,482,http://www.comune.bannioanzino.vb.it/
Baveno,http://www.comuni-italiani.it/103/008/index.html,baveno@reteunitaria.piemonte.it,4.910,http://www.comune.baveno.vb.it/
Bee,http://www.comuni-italiani.it/103/009/index.html,,741,http://www.comune.bee.vb.it/
Belgirate,http://www.comuni-italiani.it/103/010/index.html,segreteria.belgirate@reteunitaria.piemonte.it,537,http://www.comune.belgirate.vb.it/
Beura-Cardezza,http://www.comuni-italiani.it/103/011/index.html,municipio@comune.beuracardezza.vb.it,1.485,http://www.comune.beuracardezza.vb.it/
Bognanco,http://www.comuni-italiani.it/103/012/index.html,bognanco@reteunitaria.piemonte.it,206,http://www.comune.bognanco.vb.it/
Borgomezzavalle,http://www.comuni-italiani.it/103/078/index.html,info@comune.borgomezzavalle.vb.it,312,http://www.comune.borgomezzavalle.vb.it/
Brovello-Carpugnino,http://www.comuni-italiani.it/103/013/index.html,municipio@comune.brovellocarpugnino.vb.it,689,http://www.comune.brovellocarpugnino.vb.it/
Calasca-Castiglione,http://www.comuni-italiani.it/103/014/index.html,calasca.castiglione@reteunitaria.piemonte.it,648,http://www.comune.calascacastiglione.vb.it/
Cambiasca,http://www.comuni-italiani.it/103/015/index.html,cambiasca@ruparpiemonte.it,1.663,http://www.comune.cambiasca.vb.it/
Cannero Riviera,http://www.comuni-italiani.it/103/016/index.html,info@comune.canneroriviera.vb.it,936,http://www.comune.canneroriviera.vb.it/
Cannobio,http://www.comuni-italiani.it/103/017/index.html,sindaco@cannobio.net,5.162,http://www.comune.cannobio.vb.it/
